% Measurement file generated: 30-Jul-2007

[Name]
HynneGlycolysisModel_Reference experiment

[Notes]
Insilico experiment measurements
================================
Model notes:
------------
Full-scale model of glycolysis in Saccharomyces cerevisiae                                                                             
F. Hynne, S. Dano, and PG, Sorensen                                                                                                    
Biophysical Chemistry 94 (2001) 121-163                                                                                                
                                                                                                                                       
Time units: minutes                                                                                                                    
Species units: mM                                                                                                                      
                                                                                                                                       
Initialconditions do not give a steady-state, but a state-that allows                                                                  
to see the oscillations when simulating.

Experiment notes:
-----------------
Reference experiment for Hynne model that is used to generate in-silico 
measurement data that the reduced model should be able to reproduce.

Pretty complicated experiment definition ... :)

[Components]
time,Glcx,Glc,ATP,G6P,ADP,F6P,FBP,GAP,DHAP,NADplus,BPG,NADH,PEP,Pyr,ACA,EtOH,EtOHx,Glyc,Glycx,ACAx,CNxminus,AMP

[Componentnotes]

[Values]
0.000000,1.244479,0.408097,2.102544,4.148672,1.498510,0.484555,4.454132,0.112714,2.887661,0.652702,0.000267,0.327298,0.039503,6.602917,1.448285,19.059340,16.298700,4.103154,1.647506,1.259385,5.211879,0.328946
0.100000,1.244479,0.408102,2.102498,4.148624,1.498537,0.484547,4.454168,0.112714,2.887670,0.652698,0.000267,0.327302,0.039503,6.602909,1.448283,19.059339,16.298700,4.103149,1.647506,1.259385,5.211879,0.328965
0.200000,1.244479,0.408109,2.102474,4.148560,1.498551,0.484539,4.454253,0.112716,2.887696,0.652694,0.000267,0.327306,0.039503,6.602917,1.448279,19.059343,16.298700,4.103150,1.647506,1.259385,5.211879,0.328975
0.300000,1.244479,0.408112,2.102490,4.148532,1.498541,0.484536,4.454320,0.112717,2.887719,0.652693,0.000267,0.327307,0.039503,6.602933,1.448277,19.059346,16.298700,4.103156,1.647506,1.259385,5.211879,0.328968
0.400000,1.244479,0.408109,2.102532,4.148561,1.498517,0.484542,4.454311,0.112716,2.887719,0.652695,0.000267,0.327305,0.039503,6.602944,1.448279,19.059346,16.298700,4.103162,1.647506,1.259385,5.211879,0.328951
0.500000,1.244479,0.408102,2.102564,4.148625,1.498498,0.484550,4.454235,0.112715,2.887697,0.652700,0.000267,0.327300,0.039503,6.602940,1.448282,19.059341,16.298700,4.103163,1.647506,1.259385,5.211879,0.328938
0.600000,1.244479,0.408097,2.102558,4.148668,1.498502,0.484555,4.454153,0.112714,2.887669,0.652702,0.000267,0.327298,0.039503,6.602925,1.448285,19.059337,16.298700,4.103158,1.647506,1.259385,5.211879,0.328940
0.700000,1.244479,0.408099,2.102517,4.148653,1.498526,0.484551,4.454138,0.112714,2.887661,0.652700,0.000267,0.327300,0.039503,6.602910,1.448285,19.059336,16.298700,4.103151,1.647506,1.259385,5.211879,0.328957
0.800000,1.244479,0.408106,2.102476,4.148587,1.498550,0.484542,4.454208,0.112715,2.887681,0.652696,0.000267,0.327304,0.039503,6.602910,1.448281,19.059340,16.298700,4.103148,1.647506,1.259385,5.211879,0.328974
0.900000,1.244479,0.408112,2.102471,4.148528,1.498553,0.484535,4.454306,0.112716,2.887713,0.652693,0.000267,0.327307,0.039503,6.602925,1.448277,19.059346,16.298700,4.103153,1.647506,1.259385,5.211879,0.328976
1.000000,1.244479,0.408112,2.102509,4.148529,1.498530,0.484537,4.454345,0.112717,2.887728,0.652693,0.000267,0.327307,0.039503,6.602943,1.448277,19.059348,16.298700,4.103161,1.647506,1.259385,5.211879,0.328960
1.100000,1.244479,0.408105,2.102559,4.148592,1.498501,0.484546,4.454286,0.112716,2.887713,0.652698,0.000267,0.327302,0.039503,6.602948,1.448280,19.059344,16.298700,4.103165,1.647506,1.259385,5.211879,0.328940
1.200000,1.244479,0.408098,2.102577,4.148665,1.498491,0.484556,4.454177,0.112715,2.887679,0.652702,0.000267,0.327298,0.039503,6.602935,1.448284,19.059338,16.298700,4.103162,1.647506,1.259385,5.211879,0.328932
1.300000,1.244479,0.408096,2.102544,4.148684,1.498510,0.484556,4.454112,0.112714,2.887655,0.652702,0.000267,0.327298,0.039503,6.602914,1.448286,19.059335,16.298700,4.103154,1.647506,1.259385,5.211879,0.328946
1.400000,1.244479,0.408102,2.102487,4.148627,1.498543,0.484547,4.454151,0.112714,2.887663,0.652698,0.000267,0.327302,0.039503,6.602904,1.448283,19.059337,16.298700,4.103147,1.647506,1.259385,5.211879,0.328969
1.500000,1.244479,0.408110,2.102456,4.148542,1.498562,0.484536,4.454267,0.112716,2.887699,0.652693,0.000267,0.327307,0.039503,6.602914,1.448278,19.059344,16.298700,4.103148,1.647506,1.259385,5.211879,0.328982
1.600000,1.244479,0.408115,2.102480,4.148502,1.498548,0.484532,4.454360,0.112717,2.887731,0.652691,0.000267,0.327309,0.039503,6.602937,1.448276,19.059349,16.298700,4.103157,1.647506,1.259385,5.211879,0.328973
1.700000,1.244479,0.408110,2.102540,4.148546,1.498512,0.484540,4.454346,0.112717,2.887731,0.652695,0.000267,0.327305,0.039503,6.602953,1.448278,19.059347,16.298700,4.103165,1.647506,1.259385,5.211879,0.328947
1.800000,1.244479,0.408100,2.102586,4.148641,1.498485,0.484553,4.454230,0.112715,2.887697,0.652701,0.000267,0.327299,0.039503,6.602947,1.448283,19.059341,16.298700,4.103166,1.647506,1.259385,5.211879,0.328928
1.900000,1.244479,0.408094,2.102575,4.148704,1.498492,0.484560,4.454110,0.112714,2.887656,0.652704,0.000267,0.327296,0.039503,6.602923,1.448287,19.059334,16.298700,4.103158,1.647506,1.259385,5.211879,0.328933
2.000000,1.244479,0.408097,2.102513,4.148676,1.498528,0.484554,4.454093,0.112713,2.887646,0.652702,0.000267,0.327298,0.039503,6.602902,1.448286,19.059334,16.298700,4.103148,1.647506,1.259385,5.211879,0.328958
2.100000,1.244479,0.408107,2.102453,4.148578,1.498563,0.484539,4.454201,0.112715,2.887677,0.652695,0.000267,0.327305,0.039503,6.602902,1.448281,19.059340,16.298700,4.103144,1.647506,1.259385,5.211879,0.328983
2.200000,1.244479,0.408116,2.102448,4.148492,1.498566,0.484530,4.454346,0.112717,2.887724,0.652690,0.000267,0.327310,0.039503,6.602925,1.448275,19.059348,16.298700,4.103151,1.647506,1.259385,5.211879,0.328985
2.300000,1.244479,0.408115,2.102507,4.148496,1.498531,0.484533,4.454398,0.112718,2.887746,0.652691,0.000267,0.327309,0.039503,6.602952,1.448275,19.059351,16.298700,4.103163,1.647506,1.259385,5.211879,0.328961
2.400000,1.244479,0.408105,2.102581,4.148593,1.498488,0.484548,4.454307,0.112716,2.887722,0.652698,0.000267,0.327302,0.039503,6.602958,1.448280,19.059345,16.298700,4.103170,1.647506,1.259385,5.211879,0.328931
2.500000,1.244479,0.408094,2.102604,4.148701,1.498475,0.484561,4.454144,0.112714,2.887670,0.652705,0.000267,0.327295,0.039503,6.602938,1.448286,19.059336,16.298700,4.103165,1.647506,1.259385,5.211879,0.328921
2.600000,1.244479,0.408092,2.102553,4.148725,1.498505,0.484561,4.454050,0.112713,2.887635,0.652705,0.000267,0.327295,0.039503,6.602907,1.448289,19.059331,16.298700,4.103152,1.647506,1.259385,5.211879,0.328942
2.700000,1.244479,0.408101,2.102469,4.148636,1.498554,0.484547,4.454116,0.112714,2.887650,0.652699,0.000267,0.327301,0.039503,6.602893,1.448284,19.059336,16.298700,4.103142,1.647506,1.259385,5.211879,0.328977
2.800000,1.244479,0.408114,2.102424,4.148509,1.498580,0.484530,4.454290,0.112716,2.887704,0.652691,0.000267,0.327309,0.039503,6.602909,1.448277,19.059345,16.298700,4.103145,1.647506,1.259385,5.211879,0.328995
2.900000,1.244479,0.408120,2.102463,4.148454,1.498557,0.484526,4.454426,0.112718,2.887752,0.652688,0.000267,0.327312,0.039503,6.602943,1.448273,19.059353,16.298700,4.103158,1.647506,1.259385,5.211879,0.328980
3.000000,1.244479,0.408112,2.102554,4.148525,1.498504,0.484539,4.454397,0.112717,2.887749,0.652694,0.000267,0.327306,0.039503,6.602966,1.448276,19.059350,16.298700,4.103170,1.647506,1.259385,5.211879,0.328942
3.100000,1.244479,0.408098,2.102621,4.148667,1.498465,0.484558,4.454221,0.112715,2.887696,0.652703,0.000267,0.327297,0.039503,6.602956,1.448284,19.059340,16.298701,4.103171,1.647506,1.259385,5.211879,0.328914
3.200000,1.244479,0.408088,2.102600,4.148756,1.498477,0.484567,4.454044,0.112713,2.887637,0.652707,0.000267,0.327293,0.039503,6.602920,1.448290,19.059330,16.298700,4.103159,1.647506,1.259385,5.211879,0.328922
3.300000,1.244479,0.408093,2.102506,4.148711,1.498532,0.484557,4.454026,0.112713,2.887624,0.652703,0.000267,0.327297,0.039503,6.602889,1.448288,19.059330,16.298700,4.103143,1.647506,1.259385,5.211879,0.328961
3.400000,1.244479,0.408108,2.102418,4.148561,1.498584,0.484536,4.454194,0.112715,2.887672,0.652693,0.000267,0.327307,0.039503,6.602891,1.448280,19.059340,16.298700,4.103139,1.647506,1.259385,5.211879,0.328998
3.500000,1.244479,0.408121,2.102415,4.148436,1.498585,0.484522,4.454407,0.112718,2.887742,0.652687,0.000267,0.327313,0.039503,6.602926,1.448272,19.059352,16.298700,4.103149,1.647506,1.259385,5.211879,0.328999
3.600000,1.244479,0.408120,2.102505,4.148449,1.498532,0.484528,4.454479,0.112719,2.887772,0.652689,0.000267,0.327311,0.039503,6.602965,1.448272,19.059355,16.298700,4.103167,1.647506,1.259385,5.211879,0.328962
3.700000,1.244479,0.408105,2.102614,4.148597,1.498469,0.484550,4.454334,0.112717,2.887733,0.652699,0.000267,0.327301,0.039503,6.602973,1.448280,19.059346,16.298701,4.103176,1.647506,1.259385,5.211879,0.328917
3.800000,1.244479,0.408089,2.102645,4.148756,1.498451,0.484569,4.454091,0.112713,2.887655,0.652708,0.000267,0.327292,0.039503,6.602941,1.448289,19.059333,16.298701,4.103168,1.647506,1.259385,5.211879,0.328904
3.900000,1.244479,0.408085,2.102565,4.148784,1.498498,0.484568,4.453960,0.112712,2.887606,0.652708,0.000267,0.327292,0.039503,6.602895,1.448292,19.059326,16.298700,4.103149,1.647506,1.259385,5.211879,0.328937
4.000000,1.244479,0.408099,2.102439,4.148648,1.498572,0.484547,4.454065,0.112713,2.887631,0.652699,0.000267,0.327301,0.039503,6.602875,1.448285,19.059333,16.298700,4.103135,1.647506,1.259385,5.211879,0.328989
4.100000,1.244479,0.408119,2.102377,4.148459,1.498608,0.484522,4.454329,0.112717,2.887713,0.652687,0.000267,0.327313,0.039503,6.602902,1.448274,19.059348,16.298700,4.103140,1.647506,1.259385,5.211879,0.329015
4.200000,1.244479,0.408127,2.102439,4.148384,1.498571,0.484517,4.454523,0.112719,2.887782,0.652684,0.000267,0.327316,0.039503,6.602953,1.448269,19.059358,16.298700,4.103159,1.647506,1.259385,5.211879,0.328990
